source,published_at,keyword,title,text,url,author,views,likes,comments,cleaned_text
TVmaze,2005-03-24,The Office,Pilot,A documentary crew arrives at Dundler Mifflin to observe the workplace. Michael Scott tries to paint a happy picture while facing potential downsizing.,https://www.tvmaze.com/episodes/47640/the-office-1x01-pilot,The Office,,,,
TVmaze,2005-03-29,The Office,Diversity Day,Corporate sends in a consultant after Michael attempts to imitate a Chris Rock routine. Michael ends up staging his own Diversity Day event.,https://www.tvmaze.com/episodes/47641/the-office-1x02-diversity-day,The Office,,,,
TVmaze,2005-04-05,The Office,Health Care,Dwight ends up in charge of picking a new health care plan.,https://www.tvmaze.com/episodes/47642/the-office-1x03-health-care,The Office,,,,
TVmaze,2005-04-12,The Office,The Alliance,"With Dwight worried about downsizing, Jim agrees to an alliance; Michael tries to increase moral be throwing a birthday party for Meredith.",https://www.tvmaze.com/episodes/47643/the-office-1x04-the-alliance,The Office,,,,
TVmaze,2005-04-19,The Office,Basketball,Michael challenges the warehouse staff to a basketball game versus the office staff.,https://www.tvmaze.com/episodes/47644/the-office-1x05-basketball,The Office,,,,
TVmaze,2005-04-26,The Office,Hot Girl,Several male staff members vie for the attention of an attractive purse sales woman.,https://www.tvmaze.com/episodes/47645/the-office-1x06-hot-girl,The Office,,,,
TVmaze,2005-09-20,The Office,The Dundies,Michael hosts the annual Dundies awards.,https://www.tvmaze.com/episodes/47646/the-office-2x01-the-dundies,The Office,,,,
TVmaze,2005-09-27,The Office,Sexual Harassment,Michael's continual sending of explicit e-mail forwards forces Dunder Mifflin to review it's sexual harassment policy; Pam's mom makes a visit to the office.,https://www.tvmaze.com/episodes/47647/the-office-2x02-sexual-harassment,The Office,,,,
TVmaze,2005-10-04,The Office,Office Olympics,"With Michael and Dwight out of the house, Jim organizes an office Olympics.",https://www.tvmaze.com/episodes/47648/the-office-2x03-office-olympics,The Office,,,,
TVmaze,2005-10-11,The Office,The Fire,A fire starts in the office kitchen.,https://www.tvmaze.com/episodes/47649/the-office-2x04-the-fire,The Office,,,,
TVmaze,2005-10-18,The Office,Halloween,Michael has to fire someone on Halloween.,https://www.tvmaze.com/episodes/47650/the-office-2x05-halloween,The Office,,,,
TVmaze,2005-11-01,The Office,The Fight,Michael challenges Dwight to a fight at his martial arts studio.,https://www.tvmaze.com/episodes/47651/the-office-2x06-the-fight,The Office,,,,
TVmaze,2005-11-08,The Office,The Client,Jan helps Michael with an important pitch for a client; The staff discovers a screenplay in Michael's office.,https://www.tvmaze.com/episodes/47652/the-office-2x07-the-client,The Office,,,,
TVmaze,2005-11-15,The Office,Performance Review,Michael uses each employee's performance review to discuss his relationship with Jan.,https://www.tvmaze.com/episodes/47653/the-office-2x08-performance-review,The Office,,,,
TVmaze,2005-11-22,The Office,E-Mail Surveillance,The office staff finds out that Michael has set up e-mail surveillance.,https://www.tvmaze.com/episodes/47654/the-office-2x09-e-mail-surveillance,The Office,,,,
TVmaze,2005-12-06,The Office,Christmas Party,"At the office Christmas party, Michael changes secret santa into a gift exchange.",https://www.tvmaze.com/episodes/47655/the-office-2x10-christmas-party,The Office,,,,
TVmaze,2006-01-05,The Office,Booze Cruise,Michael takes the staff on a booze cruise.,https://www.tvmaze.com/episodes/47656/the-office-2x11-booze-cruise,The Office,,,,
TVmaze,2006-01-12,The Office,The Injury,"Michael accidentally burns his foot on his George Foreman Grill, but insists on coming to work anyway. When none of his employees, except for Dwight , help him, Michael feels under-appreciated. Meanwhile, Dwight starts acting strangely nice to everyone, especially Pam.",https://www.tvmaze.com/episodes/47657/the-office-2x12-the-injury,The Office,,,,
TVmaze,2006-01-19,The Office,The Secret,"Jim is forced into spending time with Michael so that he will not reveal Jim's feelings for Pam. Meanwhile, Oscar takes a ""sick day"" and Dwight investigates whether he is actually sick.",https://www.tvmaze.com/episodes/47658/the-office-2x13-the-secret,The Office,,,,
TVmaze,2006-01-26,The Office,The Carpet,"A disgusting ""thing"" – implied to be human feces – is left in Michael's office, and he tries to discover who did it. While his carpet is being replaced, he uses Jim's desk, forcing him to move away from Pam into the annex.",https://www.tvmaze.com/episodes/47659/the-office-2x14-the-carpet,The Office,,,,
TVmaze,2006-02-02,The Office,Boys and Girls,"When Jan comes to the office for a women in the office session, Michael stages a men's only session.",https://www.tvmaze.com/episodes/47660/the-office-2x15-boys-and-girls,The Office,,,,
TVmaze,2006-02-09,The Office,Valentine's Day,Michael has a big meeting in New York with Jan and the companies new CEO; Pam deals with all the Valentine's Day deliveries hoping Roy will remember to send her something.,https://www.tvmaze.com/episodes/47661/the-office-2x16-valentines-day,The Office,,,,
TVmaze,2006-03-02,The Office,Dwight's Speech,Dwight has to make a big speech when he is named Salesmen of the Year.,https://www.tvmaze.com/episodes/47662/the-office-2x17-dwights-speech,The Office,,,,
TVmaze,2006-03-16,The Office,Take Your Daughter to Work Day,Staff members bring their children to work.,https://www.tvmaze.com/episodes/47663/the-office-2x18-take-your-daughter-to-work-day,The Office,,,,
TVmaze,2006-03-30,The Office,Michael's Birthday,Michael's birthday coincides with Kevin awaiting the news to see if he has skin cancer.,https://www.tvmaze.com/episodes/47664/the-office-2x19-michaels-birthday,The Office,,,,
TVmaze,2006-04-27,The Office,Drug Testing,"After Dwight finds a joint in the office park, he goes overboard with an investigation.",https://www.tvmaze.com/episodes/47665/the-office-2x20-drug-testing,The Office,,,,
TVmaze,2006-05-04,The Office,Conflict Resolution,Michael's attempt to resolve conflict resolution in the office just leads to more conflict.,https://www.tvmaze.com/episodes/47666/the-office-2x21-conflict-resolution,The Office,,,,
